		ENRC1	ENRC2	ENRC3	ENRI1	ENRI2	ENRI3
Gene: Impad1	Type_Where: goblet_crypt&villi	25.449	24.7395	25.1938	24.926	24.1617	24.1349
Gene: Ca8	Type_Where: goblet_crypt&villi	23.5375	23.5596	23.5758	22.4681	22.6924	22.0852
Gene: Hid1	Type_Where: goblet_crypt&villi	25.1363	25.1882	24.9657	23.6989	24.0237	23.9733
Gene: Itga2	Type_Where: goblet_crypt&villi	29.338	29.3559	29.3507	28.1409	28.0031	28.1295
Gene: Nfkb2	Type_Where: goblet_crypt&villi	25.1914	25.0888	25.7327	23.8437	24.2286	23.7958
Gene: S100a14	Type_Where: goblet_crypt&villi	25.2891	25.4796	25.3305	24.032	23.9311	23.9611
Gene: Pcsk9	Type_Where: goblet_crypt&villi	23.986	23.5206	23.9506	22.5212	22.3865	22.6238
Gene: Scd2;Scd3	Type_Where: goblet_crypt&villi	27.7373	27.685	27.148	25.9503	26.3472	26.1579
Gene: Tmsb10	Type_Where: goblet_crypt&villi	27.3596	27.1142	28.1723	25.9606	25.5823	25.8251
Gene: Sh3bgrl2	Type_Where: goblet_crypt&villi	24.7405	24.7306	24.5409	23.2419	22.8279	23.0949
Gene: Morf4l2	Type_Where: goblet_crypt&villi	23.3339	23.3456	22.8426	21.5627	21.3874	21.7522
Gene: Slc1a5	Type_Where: goblet_crypt&villi	27.0587	26.8289	27.2146	25.2652	25.2439	25.5608
Gene: Utp11l	Type_Where: goblet_crypt&villi	25.9382	25.9899	25.8227	23.7058	24.1348	24.0509
Gene: Csrp1	Type_Where: goblet_crypt&villi	26.3167	26.2866	26.3578	24.417	24.426	24.3001
Gene: Rfc1	Type_Where: goblet_crypt&villi	26.513	26.8403	26.5394	23.3119	23.3386	23.4575
Gene: Far1	Type_Where: goblet_crypt&villi	26.1538	25.9522	26.3439	23.1565	22.4457	22.23
Gene: Ghrl	Type_Where: enteroendocrine_crypt&villi	23.8286	23.5317	24.1742	25.5822	25.4291	25.4149
Gene: Cck	Type_Where: enteroendocrine_crypt&villi	23.947	23.9076	23.2308	25.2071	25.4729	25.3785
Gene: Chgb	Type_Where: enteroendocrine_crypt&villi	27.8678	27.8732	28.1027	29.2315	29.2795	29.192
Gene: Vim	Type_Where: enteroendocrine_crypt&villi	24.3821	23.8466	23.5259	23.9979	25.7798	24.9957
Gene: Tubb3	Type_Where: enteroendocrine_crypt&villi	25.3445	24.941	24.7184	26.3788	24.9784	25.8983
Gene: Scg2	Type_Where: enteroendocrine_crypt&villi	21.9936	22.1203	21.8069	22.676	22.6959	22.3204
Gene: Fam160a2	Type_Where: enteroendocrine_crypt&villi	23.456	23.3972	23.3314	23.7691	23.7399	23.8654
Gene: Acadsb	Type_Where: enteroendocrine_crypt&villi	26.3581	26.3943	26.2789	26.5303	26.4631	26.5503
Gene: Pafah1b1	Type_Where: enteroendocrine_crypt&villi	27.8797	27.9298	27.9419	27.9423	28.0518	28.0324
Gene: Mycbp2	Type_Where: enteroendocrine_crypt&villi	24.7507	24.5755	24.7259	24.5092	24.6216	24.5943
